fingerprint,file,name,lat,lon,n_identical
420731b178a42dc3368f6551c10bd75c,harmonics/noaa/harmonics_noaa_currents.txt,"Mellen Rock, 1 mile east of, Canada Current",55.0333,-132.65,2
6e27f223e644ec01b4e3f53da9c2d677,harmonics/noaa/harmonics_noaa_currents.txt,"Halibut Creek, 1 mile east of, Canada Current",55.25,-131.9667,2
6e27f223e644ec01b4e3f53da9c2d677,harmonics/noaa/harmonics_noaa_currents.txt,"Eureka Channel, off Leading Point, Canada Current",54.8167,-132.3833,2
6f89b21d53bc73be787eed2d9a1ecb86,harmonics/noaa/harmonics_noaa_currents.txt,"Webster Point, 1 mile west of, Canada Current",54.9667,-132.6333,2
6f89b21d53bc73be787eed2d9a1ecb86,harmonics/noaa/harmonics_noaa_currents.txt,"Shoe Rock, 1 mile north of, Canada Current",54.9667,-132.7333,2
7bba568812929ad8fd005a029d6ab4b2,harmonics/noaa/harmonics_noaa_currents.txt,"Stevens Pass, Canada Current",49.5167,-124.5167,2
7bba568812929ad8fd005a029d6ab4b2,harmonics/noaa/harmonics_noaa_currents.txt,"Cape Lazo, Canada Current",49.7167,-124.8,2
88119fe03f6481395216a4afc15f249a,harmonics/noaa/harmonics_noaa_currents.txt,"Blaine Point, Canada Current",55.0333,-130.2167,2
88119fe03f6481395216a4afc15f249a,harmonics/noaa/harmonics_noaa_currents.txt,"Customhouse Cove, 1 mile west of, Canada Current",55.1,-131.2667,2
99b46ff60df24fd72be9fb951d09d0fa,harmonics/noaa/harmonics_noaa_currents.txt,"Middy Point, 2.9 miles ENE of, Canada Current",55.1833,-131.25,3
99b46ff60df24fd72be9fb951d09d0fa,harmonics/noaa/harmonics_noaa_currents.txt,"Walker Island, 1.1 miles north of, Canada Current",55.2,-131.3333,3
99b46ff60df24fd72be9fb951d09d0fa,harmonics/noaa/harmonics_noaa_currents.txt,"Cholmondeley Sound entrance, Canada Current",55.2833,-132.0667,3
c40e6b483faf3f5173e633567b9be792,harmonics/noaa/harmonics_noaa_currents.txt,"Moira Rock, 2 miles east of, Canada Current",55.0833,-131.9333,2
c40e6b483faf3f5173e633567b9be792,harmonics/noaa/harmonics_noaa_currents.txt,"Grand Island, 2 miles north of, Canada Current",55.0,-132.8667,2
